objective_evaluations,best_objective,current_objective,iteration
100,3285.0,3285.0,0
200,3227.0,3227.0,1
300,3141.0,3141.0,2
400,3141.0,3141.0,3
500,3141.0,3141.0,4
600,3141.0,3141.0,5
700,3141.0,3141.0,6
800,3141.0,3141.0,7
900,3141.0,3141.0,8
1000,3135.0,3135.0,9
1100,3108.0,3108.0,10
1200,2994.0,2994.0,11
1300,2994.0,2994.0,12
1400,2994.0,2994.0,13
1500,2994.0,2994.0,14
1600,2994.0,2994.0,15
1700,2994.0,2994.0,16
1800,2994.0,2994.0,17
1900,2994.0,2994.0,18
2000,2994.0,2994.0,19
2100,2873.0,2873.0,20
2200,2873.0,2873.0,21
2300,2873.0,2873.0,22
2400,2873.0,2873.0,23
2500,2873.0,2873.0,24
2600,2848.0,2848.0,25
2700,2848.0,2848.0,26
2800,2848.0,2848.0,27
2900,2848.0,2848.0,28
3000,2848.0,2848.0,29
3100,2848.0,2848.0,30
3200,2848.0,2848.0,31
3300,2848.0,2848.0,32
3400,2832.0,2832.0,33
3500,2832.0,2832.0,34
3600,2819.0,2819.0,35
3700,2810.0,2810.0,36
3800,2810.0,2810.0,37
3900,2781.0,2781.0,38
4000,2643.0,2643.0,39
4100,2643.0,2643.0,40
4200,2616.0,2616.0,41
4300,2616.0,2616.0,42
4400,2616.0,2616.0,43
4500,2559.0,2559.0,44
4600,2559.0,2559.0,45
4700,2559.0,2559.0,46
4800,2559.0,2559.0,47
4900,2483.0,2483.0,48
5000,2469.0,2469.0,49
5100,2305.0,2305.0,50
5200,2305.0,2305.0,51
5300,2305.0,2305.0,52
5400,2305.0,2305.0,53
5500,2305.0,2305.0,54
5600,2305.0,2305.0,55
5700,2288.0,2288.0,56
5800,2288.0,2288.0,57
5900,2288.0,2288.0,58
6000,2284.0,2284.0,59
6100,2284.0,2284.0,60
6200,2284.0,2284.0,61
6300,2284.0,2284.0,62
6400,2279.0,2279.0,63
6500,2153.0,2153.0,64
6600,2153.0,2153.0,65
6700,2153.0,2153.0,66
6800,2153.0,2153.0,67
6900,2153.0,2153.0,68
7000,2153.0,2153.0,69
7100,2153.0,2153.0,70
7200,2153.0,2153.0,71
7300,2153.0,2153.0,72
7400,2153.0,2153.0,73
7500,2153.0,2153.0,74
7600,2153.0,2153.0,75
7700,2153.0,2153.0,76
7800,2151.0,2151.0,77
7900,2151.0,2151.0,78
8000,2151.0,2151.0,79
8100,2147.0,2147.0,80
8200,2115.0,2115.0,81
8300,2115.0,2115.0,82
8400,2115.0,2115.0,83
8500,2115.0,2115.0,84
8600,2115.0,2115.0,85
8700,2115.0,2115.0,86
8800,2115.0,2115.0,87
8900,2115.0,2115.0,88
9000,2109.0,2109.0,89
9100,2097.0,2097.0,90
9200,2072.0,2072.0,91
9300,2072.0,2072.0,92
9400,2038.0,2038.0,93
9500,2038.0,2038.0,94
9600,2029.0,2029.0,95
9700,2029.0,2029.0,96
9800,2029.0,2029.0,97
