objective_evaluations,best_objective,current_objective,iteration
100,3255.0,3255.0,0
200,3239.0,3239.0,1
300,3162.0,3162.0,2
400,2974.0,2974.0,3
500,2974.0,2974.0,4
600,2974.0,2974.0,5
700,2974.0,2974.0,6
800,2974.0,2974.0,7
900,2974.0,2974.0,8
1000,2974.0,2974.0,9
1100,2974.0,2974.0,10
1200,2974.0,2974.0,11
1300,2974.0,2974.0,12
1400,2974.0,2974.0,13
1500,2917.0,2917.0,14
1600,2831.0,2831.0,15
1700,2741.0,2741.0,16
1800,2741.0,2741.0,17
1900,2710.0,2710.0,18
2000,2710.0,2710.0,19
2100,2710.0,2710.0,20
2200,2710.0,2710.0,21
2300,2710.0,2710.0,22
2400,2710.0,2710.0,23
2500,2698.0,2698.0,24
2600,2641.0,2641.0,25
2700,2641.0,2641.0,26
2800,2611.0,2611.0,27
2900,2611.0,2611.0,28
3000,2586.0,2586.0,29
3100,2586.0,2586.0,30
3200,2586.0,2586.0,31
3300,2496.0,2496.0,32
3400,2496.0,2496.0,33
3500,2496.0,2496.0,34
3600,2496.0,2496.0,35
3700,2496.0,2496.0,36
3800,2496.0,2496.0,37
3900,2496.0,2496.0,38
4000,2470.0,2470.0,39
4100,2470.0,2470.0,40
4200,2470.0,2470.0,41
4300,2449.0,2449.0,42
4400,2449.0,2449.0,43
4500,2449.0,2449.0,44
4600,2449.0,2449.0,45
4700,2449.0,2449.0,46
4800,2449.0,2449.0,47
4900,2449.0,2449.0,48
5000,2449.0,2449.0,49
5100,2429.0,2429.0,50
5200,2429.0,2429.0,51
5300,2429.0,2429.0,52
5400,2429.0,2429.0,53
5500,2429.0,2429.0,54
5600,2404.0,2404.0,55
5700,2404.0,2404.0,56
5800,2404.0,2404.0,57
5900,2404.0,2404.0,58
6000,2404.0,2404.0,59
6100,2404.0,2404.0,60
6200,2404.0,2404.0,61
6300,2404.0,2404.0,62
6400,2382.0,2382.0,63
6500,2371.0,2371.0,64
6600,2371.0,2371.0,65
6700,2371.0,2371.0,66
6800,2371.0,2371.0,67
6900,2371.0,2371.0,68
7000,2371.0,2371.0,69
7100,2371.0,2371.0,70
7200,2371.0,2371.0,71
7300,2371.0,2371.0,72
7400,2371.0,2371.0,73
7500,2365.0,2365.0,74
7600,2365.0,2365.0,75
7700,2359.0,2359.0,76
7800,2329.0,2329.0,77
7900,2324.0,2324.0,78
8000,2324.0,2324.0,79
8100,2309.0,2309.0,80
8200,2309.0,2309.0,81
8300,2296.0,2296.0,82
8400,2267.0,2267.0,83
8500,2267.0,2267.0,84
8600,2266.0,2266.0,85
8700,2266.0,2266.0,86
8800,2266.0,2266.0,87
8900,2266.0,2266.0,88
9000,2236.0,2236.0,89
9100,2236.0,2236.0,90
9200,2236.0,2236.0,91
9300,2236.0,2236.0,92
9400,2236.0,2236.0,93
9500,2221.0,2221.0,94
9600,2221.0,2221.0,95
9700,2175.0,2175.0,96
9800,2170.0,2170.0,97
9900,2167.0,2167.0,98
10000,2167.0,2167.0,99
10100,2167.0,2167.0,100
10200,2148.0,2148.0,101
10300,2148.0,2148.0,102
10400,2148.0,2148.0,103
10500,2148.0,2148.0,104
10600,2148.0,2148.0,105
10700,2148.0,2148.0,106
10800,2114.0,2114.0,107
10900,2114.0,2114.0,108
11000,2114.0,2114.0,109
11100,2114.0,2114.0,110
11200,2114.0,2114.0,111
11300,2106.0,2106.0,112
11400,2106.0,2106.0,113
11500,2106.0,2106.0,114
11600,2076.0,2076.0,115
11700,2076.0,2076.0,116
11800,2076.0,2076.0,117
11900,2076.0,2076.0,118
12000,2076.0,2076.0,119
12100,2075.0,2075.0,120
12200,2075.0,2075.0,121
12300,2075.0,2075.0,122
12400,2075.0,2075.0,123
12500,2075.0,2075.0,124
12600,2075.0,2075.0,125
12700,2073.0,2073.0,126
12800,2073.0,2073.0,127
12900,2073.0,2073.0,128
13000,2059.0,2059.0,129
13100,2059.0,2059.0,130
13200,2059.0,2059.0,131
13300,2059.0,2059.0,132
13400,2059.0,2059.0,133
13500,2059.0,2059.0,134
13600,2059.0,2059.0,135
13700,2059.0,2059.0,136
13800,2059.0,2059.0,137
13900,2059.0,2059.0,138
14000,2059.0,2059.0,139
14100,2049.0,2049.0,140
14200,2049.0,2049.0,141
14300,2049.0,2049.0,142
14400,2049.0,2049.0,143
14500,2048.0,2048.0,144
14600,2048.0,2048.0,145
14700,2048.0,2048.0,146
14800,2048.0,2048.0,147
14900,2048.0,2048.0,148
15000,2048.0,2048.0,149
15100,2048.0,2048.0,150
15200,2048.0,2048.0,151
15300,2048.0,2048.0,152
15400,2048.0,2048.0,153
15500,2048.0,2048.0,154
15600,2048.0,2048.0,155
15700,2048.0,2048.0,156
15800,2048.0,2048.0,157
15900,2048.0,2048.0,158
16000,2048.0,2048.0,159
16100,2048.0,2048.0,160
16200,2048.0,2048.0,161
16300,2048.0,2048.0,162
16400,2048.0,2048.0,163
16500,2048.0,2048.0,164
16600,2037.0,2037.0,165
16700,2037.0,2037.0,166
16800,2037.0,2037.0,167
16900,2036.0,2036.0,168
17000,2036.0,2036.0,169
17100,2036.0,2036.0,170
17200,2036.0,2036.0,171
17300,2036.0,2036.0,172
17400,2036.0,2036.0,173
17500,2036.0,2036.0,174
17600,2036.0,2036.0,175
17700,2036.0,2036.0,176
17800,2036.0,2036.0,177
17900,2036.0,2036.0,178
18000,2036.0,2036.0,179
18100,2036.0,2036.0,180
18200,2036.0,2036.0,181
18300,2036.0,2036.0,182
18400,2036.0,2036.0,183
18500,2036.0,2036.0,184
18600,2036.0,2036.0,185
18700,2036.0,2036.0,186
18800,2036.0,2036.0,187
18900,2036.0,2036.0,188
19000,2036.0,2036.0,189
19100,2036.0,2036.0,190
19200,2036.0,2036.0,191
19300,2036.0,2036.0,192
19400,2036.0,2036.0,193
19500,2036.0,2036.0,194
19600,2036.0,2036.0,195
19700,2036.0,2036.0,196
19800,2036.0,2036.0,197
19900,2036.0,2036.0,198
20000,2036.0,2036.0,199
20100,2036.0,2036.0,200
20200,2036.0,2036.0,201
20300,2036.0,2036.0,202
20400,2036.0,2036.0,203
20500,2036.0,2036.0,204
20600,2036.0,2036.0,205
20700,2036.0,2036.0,206
20800,2036.0,2036.0,207
20900,2036.0,2036.0,208
21000,2036.0,2036.0,209
21100,2036.0,2036.0,210
21200,2036.0,2036.0,211
21300,2036.0,2036.0,212
21400,2036.0,2036.0,213
21500,2036.0,2036.0,214
21600,2036.0,2036.0,215
21700,2036.0,2036.0,216
21800,2036.0,2036.0,217
21900,2036.0,2036.0,218
22000,2036.0,2036.0,219
22100,2036.0,2036.0,220
22200,2036.0,2036.0,221
22300,2036.0,2036.0,222
22400,2036.0,2036.0,223
22500,2036.0,2036.0,224
22600,2036.0,2036.0,225
22700,2036.0,2036.0,226
22800,2036.0,2036.0,227
22900,2036.0,2036.0,228
23000,2036.0,2036.0,229
23100,2036.0,2036.0,230
23200,2036.0,2036.0,231
23300,2036.0,2036.0,232
23400,2036.0,2036.0,233
23500,2036.0,2036.0,234
23600,2036.0,2036.0,235
23700,2036.0,2036.0,236
23800,2036.0,2036.0,237
23900,2036.0,2036.0,238
24000,2036.0,2036.0,239
24100,2036.0,2036.0,240
24200,2036.0,2036.0,241
24300,2036.0,2036.0,242
24400,2036.0,2036.0,243
24500,2036.0,2036.0,244
24600,2036.0,2036.0,245
24700,2036.0,2036.0,246
24800,2036.0,2036.0,247
24900,2036.0,2036.0,248
25000,2036.0,2036.0,249
25100,2036.0,2036.0,250
25200,2036.0,2036.0,251
25300,2036.0,2036.0,252
25400,2036.0,2036.0,253
25500,2036.0,2036.0,254
25600,2036.0,2036.0,255
25700,2036.0,2036.0,256
25800,2036.0,2036.0,257
25900,2036.0,2036.0,258
26000,2036.0,2036.0,259
26100,2036.0,2036.0,260
26200,2036.0,2036.0,261
26300,2036.0,2036.0,262
26400,2036.0,2036.0,263
26500,2036.0,2036.0,264
26600,2036.0,2036.0,265
26700,2036.0,2036.0,266
26800,2036.0,2036.0,267
26900,2036.0,2036.0,268
27000,2036.0,2036.0,269
27100,2036.0,2036.0,270
27200,2036.0,2036.0,271
27300,2036.0,2036.0,272
27400,2036.0,2036.0,273
27500,2036.0,2036.0,274
27600,2036.0,2036.0,275
27700,2036.0,2036.0,276
27800,2036.0,2036.0,277
27900,2036.0,2036.0,278
28000,2036.0,2036.0,279
28100,2036.0,2036.0,280
28200,2036.0,2036.0,281
28300,2036.0,2036.0,282
28400,2036.0,2036.0,283
28500,2036.0,2036.0,284
28600,2036.0,2036.0,285
28700,2036.0,2036.0,286
28800,2036.0,2036.0,287
28900,2036.0,2036.0,288
29000,2036.0,2036.0,289
29100,2036.0,2036.0,290
29200,2036.0,2036.0,291
29300,2036.0,2036.0,292
29400,2036.0,2036.0,293
29500,2036.0,2036.0,294
29600,2036.0,2036.0,295
